,PDF名字,解析结果
156,"01652-福森藥業-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (622KB, PDF).pdf",无
157,"01666-同仁堂科技-月報表月報表截至二零一八年九月三十日 (562KB, PDF).pdf",解析失败请手动查看PDF
158,"01697-山東國信-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (568KB, PDF).pdf",解析失败请手动查看PDF
159,"01700-華地國際控股-月報表截至二零一八年九月三十日股份發行人的證券變動月報表 (543KB, PDF).pdf",无
160,"01708-三寶科技-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (504KB, PDF).pdf",无
161,"01721-FSM HOLDINGS-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (453KB, PDF).pdf",无
162,"01723-港亞控股-月報表股份發行人的證券變動月報表 (487KB, PDF).pdf",无
163,"01728-正通汽車-月報表股份發行人的證券變動月報表 (742KB, PDF).pdf",无
164,"01731-其利工業集團-月報表截至2018年9月30日止股份發行人的證券變動月報表 (473KB, PDF).pdf",无
165,"01748-信源企業集團-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (493KB, PDF).pdf",无
166,"01763-中國同輻-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (127KB, PDF).pdf",无
167,"01765-希望教育-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (483KB, PDF).pdf",无
168,"01766-中國中車-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (569KB, PDF).pdf",无
169,"01776-廣發証券-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (505KB, PDF).pdf",无
170,"01787-山東黃金-月報表截至二零一八年九月三十日之股份發行人的證券變動月報表 (480KB, PDF).pdf",无
171,"01799-新特能源-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (572KB, PDF).pdf",无
172,"01800-中國交通建設-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (113KB, PDF).pdf",解析失败请手动查看PDF
173,"01831-十方控股-月報表股份發行人的證券變動月報表 (459KB, PDF).pdf",解析失败请手动查看PDF
174,"01836-九興控股-月報表截至2018年9月30日股份發行人的證券變動月報表 (132KB, PDF).pdf",无
175,"01858-春立醫療-月報表股份發行人的證券變動月報表 (509KB, PDF).pdf",解析失败请手动查看PDF
176,"01868-同方友友-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (205KB, PDF).pdf",无
177,"01878-南戈壁－Ｓ-月報表2018年9月證券變動月報表 (716KB, PDF).pdf",无
178,"01883-中信國際電訊-月報表截至2018年9月30日止之股份發行人的證券變動月報表 (485KB, PDF).pdf",有数据请查看
179,"01910-新秀麗-月報表截至2018年9月30日止月份之股份發行人的證券變動月報表 (222KB, PDF).pdf",有数据请查看
180,"01911-華興資本控股-月報表截至2018年9月30日止月份股份發行人的證券變動月報表 (582KB, PDF).pdf",无
181,"01962-訓修實業-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (490KB, PDF).pdf",无
182,"01966-中駿集團控股-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (462KB, PDF).pdf",无
183,"01969-中國春來-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (444KB, PDF).pdf",无
184,"01986-彩客化學-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (531KB, PDF).pdf",无
185,"02001-新高教集團-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (550KB, PDF).pdf",无
186,"02022-遊萊互動-月報表截至2018年9月30日止之股份發行人的證券變動月報表 (510KB, PDF).pdf",无
187,"02048-易居企業控股-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (498KB, PDF).pdf",无
188,"02083-大自然家居-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (504KB, PDF).pdf",无
189,"02099-中國黃金國際-月報表股份發行人的證券變動月報表 (390KB, PDF).pdf",无
190,"02118-天山發展控股-月報表截至2018年9月30日之股份發行人的證券變動月報表 (534KB, PDF).pdf",无
191,"02119-捷榮國際控股-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (552KB, PDF).pdf",有数据请查看
192,"02202-萬科企業-月報表截至2018年9月30日之月報表 (212KB, PDF).pdf",无
193,"02203-泰邦集團-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (470KB, PDF).pdf",无
194,"02218-安德利果汁-月報表股份發行人的證券變動月報表 (138KB, PDF).pdf",无
195,"02228-中國節能海東青-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (286KB, PDF).pdf",无
196,"02239-國微技術-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (558KB, PDF).pdf",无
197,"02342-京信通信-月報表月報表 (431KB, PDF).pdf",有数据请查看
198,"02378-保誠-月報表截至2018年9月30日止月份之股份發行人的證券變動月報表 (578KB, PDF).pdf",有数据请查看
199,"02386-中石化煉化工程-月報表股份發行人的證券變動月報表 (343KB, PDF).pdf",无
200,"02552-華領醫藥－Ｂ-月報表股份發行人的證券變動月報表 (171KB, PDF).pdf",无
201,"02608-陽光１００中國-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (480KB, PDF).pdf",无
202,"02668-百德國際-月報表股份發行人的證券變動月報表截至二零一八年九月三十日 (463KB, PDF).pdf",无
203,"02680-創陞控股-月報表截至2018年9月30日止股份發行人的證券變動月報表 (198KB, PDF).pdf",无
204,"02789-遠大中國-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (508KB, PDF).pdf",无
205,"02800-盈富基金-月報表開放式集體投資計劃變動月報表 (82KB, PDF).pdf",解析失败请手动查看PDF
206,"02801-安碩中國ＥＴＦ-月報表2801 月報表 (96KB, PDF).pdf",解析失败请手动查看PDF
207,"028020282302836030100901009836828238283683010-安碩亞洲新興安碩Ａ５０安碩印度安碩亞洲除日安碩亞洲除日－Ｕ安碩印度－Ｕ安碩Ａ５０－Ｒ安碩印度－Ｒ安碩亞洲除日－Ｒ-月報表2823, 82823, 2802, 3010, 9010, 83010, 2836, 9836, 82836 月報表 (387KB, PDF).pdf",无
208,"02819-ＡＢＦ港債指數-月報表截至2018年09月30日止月份之單位變動月報表 (85KB, PDF).pdf",解析失败请手动查看PDF
209,"02821-沛富基金-月報表截至2018年09月30日止月份之單位變動月報表 (110KB, PDF).pdf",解析失败请手动查看PDF
210,"028340284703155091550983409847828348284783155-安碩納指一百安碩富時一百安碩ＥＳ５０安碩ＥＳ５０－Ｕ安碩納指一百－Ｕ安碩富時一百－Ｕ安碩納指一百－Ｒ安碩富時一百－Ｒ安碩ＥＳ５０－Ｒ-月報表9834, 2834, 82834, 9155, 3155, 83155, 9847, 2847, 82847月報表 (287KB, PDF).pdf",无
211,"02840-ＳＰＤＲ金ＥＴＦ-月報表月報表 (114KB, PDF).pdf",解析失败请手动查看PDF
212,"028460984682846-安碩滬深三百安碩滬深三百－Ｕ安碩滬深三百－Ｒ-月報表2846, 82846, 9846 月報表 (142KB, PDF).pdf",解析失败请手动查看PDF
213,"02866-中遠海發-月報表截至2018年9月30日股份發行人的證券變動月報表 (477KB, PDF).pdf",无
214,"02882-香港資源控股-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (365KB, PDF).pdf",无
215,"02888-渣打集團-月報表股份發行人的證券變動月報表截至2018年09月30日 (784KB, PDF).pdf",有数据请查看
216,"03073-ＳＰＤＲ大中華-月報表截至2018年9月30日止月份之單位變動月報表 (55KB, PDF).pdf",解析失败请手动查看PDF
217,"030740314603170090740914609170830748314683170-安碩ＭＳ台灣安碩ＤＡＸ安碩韓國二百安碩ＭＳ台灣－Ｕ安碩ＤＡＸ－Ｕ安碩韓國二百－Ｕ安碩ＭＳ台灣－Ｒ安碩ＤＡＸ－Ｒ安碩韓國二百－Ｒ-月報表9170, 3170, 83170, 9074, 3074, 83074, 9146, 3146, 83146 月報表 (300KB, PDF).pdf",无
218,"03086031210314103143031450316003165-ＢＭＯ納斯達克ＢＭＯ亞太房地產ＢＭＯ亞洲投資債ＢＭＯ香港銀行股ＢＭＯ亞洲高息股ＢＭＯ日股對沖ＢＭＯ歐優股對沖-月報表BMO ETF 月報表 (215KB, PDF).pdf",无
219,"031150911583115-安碩恒生指數安碩恒生指數－Ｕ安碩恒生指數－Ｒ-月報表3115, 9115, 83115 月報表 (121KB, PDF).pdf",解析失败请手动查看PDF
220,"03135-Ｆ南方東英原油-月報表月報表 - 2018年09月30日 (190KB, PDF).pdf",解析失败请手动查看PDF
221,"03167-工銀南方中國-月報表月報表 - 2018年09月30日 (202KB, PDF).pdf",解析失败请手动查看PDF
222,"031860918683186-中金金瑞中網中金金瑞中網－Ｕ中金金瑞中網－Ｒ-月報表股份代號  3186, 9186, 83186 月報表 (141KB, PDF).pdf",无
223,"03323-中國建材-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (174KB, PDF).pdf",无
224,"03332-中生聯合-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (181KB, PDF).pdf",无
225,"03333-中國恒大-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (185KB, PDF).pdf",有数据请查看
226,"03360-遠東宏信-月報表股份發行人截至二零一八年九月三十日的證券變動月報表 (172KB, PDF).pdf",有数据请查看
227,"03363-正業國際-月報表截至2018年9月30日之股份發行人的證券變動月報表 (351KB, PDF).pdf",无
228,"03606-福耀玻璃-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (479KB, PDF).pdf",无
229,"03618-重慶農村商業銀行-月報表截至2018年9月30日止月份之股份發行人的證券變動月報表 (197KB, PDF).pdf",无
230,"03636-保利文化-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (493KB, PDF).pdf",无
231,"03666-國際天食-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (266KB, PDF).pdf",无
232,"03669-永達汽車-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (383KB, PDF).pdf",无
233,"03788-中國罕王-月報表截至2018年9月30日止之股份發行人的證券變動月報表 (470KB, PDF).pdf",无
234,"03903-瀚華金控-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (513KB, PDF).pdf",无
235,"03908-中金公司-月報表截至二零一八年九月三十日股份發行人的證券變動月報表 (220KB, PDF).pdf",无
236,"03919-金力集團-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (123KB, PDF).pdf",无
237,"03969-中國通號-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (481KB, PDF).pdf",无
238,"03998-波司登-月報表截至2018年9月30日止的股份發行人的證券變動月報表 (479KB, PDF).pdf",无
239,"06036-光麗科技-月報表截至2018年9月30日止之股份發行人的證券變動月報表 (462KB, PDF).pdf",无
240,"06066-中信建投証券-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (507KB, PDF).pdf",无
241,"06088-FIT HON TENG-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (561KB, PDF).pdf",有数据请查看
242,"06099-招商證券-月報表截至二零一八年九月三十日止月份股份發行人的證券變動月報表 (521KB, PDF).pdf",无
243,"06100-有才天下獵聘-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (476KB, PDF).pdf",无
244,"06108-新銳醫藥-月報表股份發行人的證券變動月報表 (120KB, PDF).pdf",无
245,"06122-九台農商銀行-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (540KB, PDF).pdf",无
246,"06123-圓通速遞國際-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (479KB, PDF).pdf",解析失败请手动查看PDF
247,"06138-哈爾濱銀行-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (492KB, PDF).pdf",无
248,"06163-彭順國際-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (501KB, PDF).pdf",无
249,"06178-光大證券-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (219KB, PDF).pdf",无
250,"06189-愛得威建設集團-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (257KB, PDF).pdf",无
251,"06190-九江銀行-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (221KB, PDF).pdf",无
252,"06823-香港電訊－ＳＳ-月報表截至2018年9月30日止之股份發行人的證券變動月報表 (473KB, PDF).pdf",无
253,"06858-本間高爾夫-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (459KB, PDF).pdf",无
254,"06862-海底撈-月報表截至2018年9月30日止月份之股份發行人的證券變動月報表 (558KB, PDF).pdf",无
255,"06888-英達公路再生科技-月報表截至2018年9月30日止之股份發行人的證券變動月報表 (556KB, PDF).pdf",无
256,"06893-衍生集團-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (504KB, PDF).pdf",无
257,"06896-金嗓子-月報表二零一八年九月三十日止月份之股份發行人的證券變動月報表 (492KB, PDF).pdf",无
258,"07200-ＦＬ二南方恒指-月報表月報表 - 2018年09月30日 (200KB, PDF).pdf",解析失败请手动查看PDF
259,"07288-ＦＬ二南方國指-月報表月報表 - 2018年09月30日 (206KB, PDF).pdf",解析失败请手动查看PDF
260,"07300-ＦＩ南方恒指-月報表月報表 - 2018年09月30日 (208KB, PDF).pdf",解析失败请手动查看PDF
261,"07388-ＦＩ南方國指-月報表月報表 - 2018年09月30日 (213KB, PDF).pdf",解析失败请手动查看PDF
262,"08019-皓文控股-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (416KB, PDF).pdf",无
263,"08039-中國卓銀-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (486KB, PDF).pdf",无
264,"08041-薈萃國際（控股）-月報表股份發行人的證券變動月報表 ( 截至2018年9月30日 ) (446KB, PDF).pdf",无
265,"08075-寰亞傳媒-月報表截至二零一八年九月三十日之證券變動月報表 (442KB, PDF).pdf",无
266,"08076-新利軟件-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (220KB, PDF).pdf",无
267,"08089-華人策略控股-月報表股份發行人的證券變動月報表 (494KB, PDF).pdf",无
268,"08106-升華蘭德-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (468KB, PDF).pdf",无
269,"08113-揚宇科技-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (172KB, PDF).pdf",解析失败请手动查看PDF
270,"08142-德利機械-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (519KB, PDF).pdf",无
271,"08153-科地農業-月報表股份發行人的證券變動月報表 ( 截至2018年9月30日 ) (116KB, PDF).pdf",无
272,"08159-輝煌科技-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (272KB, PDF).pdf",无
273,"08172-拉近網娛-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (468KB, PDF).pdf",无
274,"08175-中國數碼文化-月報表截至2018年9月30日止股份發行人的證券變動月報表 (3269KB, PDF).pdf",无
275,"08182-中國糖果-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (456KB, PDF).pdf",无
276,"08199-中國萬桐園-月報表股份發行人的證券變動月報表截至二零一八年九月三十日 (476KB, PDF).pdf",无
277,"08210-衍匯亞洲-月報表截至2018年9月30日止月份之股份發行人的證券變動月報表 (116KB, PDF).pdf",无
278,"08227-西安海天天-月報表證券變動月報表 - 2018年9月份 (187KB, PDF).pdf",无
279,"08238-惠陶集團-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (470KB, PDF).pdf",无
280,"08241-英記茶莊集團-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (463KB, PDF).pdf",无
281,"08266-卓信國際控股-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (462KB, PDF).pdf",无
282,"08278-CMON-月報表截至2018年9月30日止月份之股份發行人的證券變動月報表 (514KB, PDF).pdf",无
283,"08296-中國生命集團-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (583KB, PDF).pdf",无
284,"08299-大唐潼金-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (294KB, PDF).pdf",无
285,"08307-密迪斯肌-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (511KB, PDF).pdf",有数据请查看
286,"08309-萬成環球控股-月報表股份發行人的證券變動月報表 ( 截至2018年9月30日 ) (138KB, PDF).pdf",无
287,"08320-沛然環保-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (518KB, PDF).pdf",无
288,"08405-恒智控股-月報表截至2018年9月30日之股份發行人的證券變動月報表 (402KB, PDF).pdf",无
289,"08410-安領國際-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (472KB, PDF).pdf",解析失败请手动查看PDF
290,"08422-ＷＴ集團-月報表截至2018年9月30日股份發行人的證券變動月報表 (468KB, PDF).pdf",无
291,"08437-德斯控股-月報表截至二零一八年九月三十日止月份之股份發行人的證券變動月報表 (621KB, PDF).pdf",无
292,"08445-怡康泰工程集團-月報表截至二零一八年九月三十日止之股份發行人的證券變動月報表 (198KB, PDF).pdf",无
293,"08448-環球印館-月報表股份發行人的證券變動月報表 (516KB, PDF).pdf",无
294,"08451-日光控股-月報表截至二零一八年九月三十日止股份發行人的證券變動月報表 (449KB, PDF).pdf",无
295,"08463-TOMO HOLDINGS-月報表股份發行人的證券變動月報表截至二零一八年九月三十日 (627KB, PDF).pdf",无
296,"08606-倢冠控股-月報表截止至2018年9月30日股份發行人的證券變動月報表 (553KB, PDF).pdf",无
297,"82822-南方Ａ５０－Ｒ-月報表月報表 - 2018年09月30日 (185KB, PDF).pdf",解析失败请手动查看PDF
298,"83053-南方港元貨幣－Ｒ-月報表月報表 - 2018年09月30日 (194KB, PDF).pdf",解析失败请手动查看PDF
299,"83122-南方東英短債－Ｒ-月報表月報表 - 2018年09月30日 (193KB, PDF).pdf",解析失败请手动查看PDF
300,"83129-南方三百精明－Ｒ-月報表月報表 - 2018年09月30日 (192KB, PDF).pdf",解析失败请手动查看PDF
301,"83137-南方中華８０－Ｒ-月報表月報表 - 2018年09月30日 (185KB, PDF).pdf",解析失败请手动查看PDF
302,"83147-南方中創業板－Ｒ-月報表AUG2018 (195KB, PDF).pdf",解析失败请手动查看PDF
303,"83149-南方ＭＳＣＩ－Ｒ-月報表月報表 - 2018年09月30日 (200KB, PDF).pdf",解析失败请手动查看PDF
304,"83199-南方五年國債－Ｒ-月報表月報表 - 2018年09月30日 (190KB, PDF).pdf",解析失败请手动查看PDF
